started,extinguished,counties,latitude,longitude,acresBurned,precipIntensity,precipIntensityMax,precipProbability,dewPoint,humidity,windSpeed,windGust,windBearing,uvIndex,temperatureMin,temperatureMax,cloudCover,visibility,pressure,wildfireIntensity
2016-06-25T06:30:00Z,2016-07-09T08:30:00Z,Mono,37.97,-119.14,650,0.002373,0.01924,0.096,31.29933,0.308667,4.687333,18.44333,199.4,11.93333,49.706,79.84467,0.087333,9.9424,,Low
2016-06-26T13:10:00Z,2016-06-29T18:30:00Z,Orange,33.57872,-117.774,47,0,0.0001,0.0175,62.98,0.7825,2.0675,7.5925,220,10.75,62.45,81.4925,0.285,8.518,1012.475,Low
2016-06-27T18:00:00Z,2016-06-30T07:00:00Z,Calaveras,38.22017,-120.868,33,0,0,0,49.2275,0.33,2.7625,13.165,257.75,11,60.7275,104.32,0.0025,8.7825,1012.325,Low
2016-06-30T13:32:00Z,2016-07-04T07:45:00Z,Tehama,40.0353,-122.569,464,2.00E-05,0.00048,0.012,49.242,0.354,7.56,16.79,199.2,11,67,92.61,0.066,9.997,1009.66,Medium
2016-07-01T14:05:00Z,2016-07-08T19:00:00Z,Kern,35.20993,-118.723,1785,0,0,0,45.37125,0.275,4.88,15.28875,269.25,11,69.71375,96.40125,0.03875,9.647875,1010.587,High
2016-07-01T17:16:00Z,2016-07-05T07:05:00Z,Fresno,36.0749,-120.452,2944,0,0,0,47.158,0.322,3.8,13.97,294,11,63.43,96.388,0.094,3.9748,1013.12,High
2016-07-02T14:55:00Z,2016-07-08T19:32:00Z,Calaveras,38.02845,-120.612,310,0,0.0001,0.012857,47.82571,0.414286,2.711429,11.43286,282.7143,11,56.52143,91.63143,0.012857,9.997,,Low
2016-07-04T17:15:00Z,2016-07-07T19:00:00Z,Fresno,36.14161,-120.62,145,0,0,0,41.94,0.2925,4.52,15.7025,296.5,,59.7675,92.1875,,,,Low
2016-07-08T22:45:00Z,2016-07-12T07:00:00Z,Shasta,40.36873,-122.729,441,8.00E-05,0.00132,0.024,45.738,0.398,5.902,17.454,257.6,10.2,58.276,88.152,0.144,9.997,1012.92,Medium
2016-07-09T12:04:00Z,2016-07-16T12:00:00Z,Los Angeles,34.36763,-118.572,1109,0.000163,0.001325,0.01375,54.29125,0.53875,4.7425,15.55125,206.875,10.875,60.17875,87.03,0.15375,9.775125,1013.213,Medium
